edge_id,timestamp_i,timestamp_j,correspondence_success,correspondence_failure_reason,detector_type,keypoint_count_i,keypoint_count_j,raw_match_count,filtered_match_count,inlier_match_count,inlier_ratio,median_match_displacement,p90_match_displacement,match_angle_median,match_angle_dispersion,parallax_proxy,low_parallax_flag,near_static_flag,image_difference_mean,image_difference_p90,flow_success,flow_failure_reason,tracked_point_count,valid_flow_count,median_flow_magnitude,p90_flow_magnitude,flow_angle_median,flow_angle_dispersion,forward_backward_flow_consistency,gt_tmag
198,1745407694.857777,1745407694.908148,True,,ORB,1177,1183,1177,1077,1077,1.0,0.0,0.0,0.0,12.063850402832031,0.0008447104482911527,True,True,0.0012247051345184445,0.003921568859368563,True,,526,526,0.0008447104482911527,0.3880627155303955,0.0,71.87479400634766,1.0,0.0045528804534885805
199,1745407694.908148,1745407694.958257,True,,ORB,1183,1176,1183,875,800,0.9142857142857143,0.0,3.0,0.0,41.6790657043457,0.5648533642529492,False,True,0.015346583910286427,0.03921568766236305,True,,502,502,0.5716862678527832,4.31082010269165,15.329404830932617,80.84388732910156,0.9880478087649402,0.0028052085166574104
200,1745407694.958257,1745407695.009317,True,,ORB,1176,1179,1176,977,977,1.0,0.0,1.1999969482421875,0.0,7.901418209075928,0.0003878387501248973,True,True,0.0036109068896621466,0.007843137718737125,True,,478,478,0.00039111165096983314,1.060628056526184,0.0,48.64521789550781,0.9916317991631799,0.006218224528808616
201,1745407695.009317,1745407695.059417,True,,ORB,1179,1182,1179,902,902,1.0,0.0,2.4838578701019287,0.0,29.557941436767578,0.2674532279069483,False,True,0.011934110894799232,0.0313725508749485,True,,443,443,0.269890159368515,3.524909019470215,18.388137817382812,85.6982192993164,0.9909706546275395,0.003051356160181828
202,1745407695.059417,1745407695.110201,True,,ORB,1182,1175,1182,819,759,0.9267399267399268,0.0,3.1622776985168457,0.0,39.778987884521484,0.681423145821951,False,True,0.015835747122764587,0.04313725605607033,True,,515,515,0.6840797662734985,4.673327922821045,22.29083251953125,80.16996002197266,0.996116504854369,0.005354949381292863
203,1745407695.110201,1745407695.160522,True,,ORB,1175,1175,1175,1175,1175,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,566,566,0.0,0.0,0.0,0.0,1.0,0.0043944360519673825
204,1745407695.160522,1745407695.211124,True,,ORB,1175,1176,1175,884,831,0.9400452488687783,0.0,2.8799850940704346,0.0,35.46996307373047,0.5731630556996214,False,True,0.014401004649698734,0.03921568766236305,True,,566,566,0.5741775035858154,4.168862819671631,28.818065643310547,75.67306518554688,0.9982332155477032,0.006275874146175541
205,1745407695.211124,1745407695.261744,True,,ORB,1176,1176,1176,1010,1010,1.0,0.0,1.4142135381698608,0.0,10.12592601776123,0.0018987978110089898,True,True,0.0034779796842485666,0.007843137718737125,True,,560,560,0.0018987978110089898,0.9365360736846924,0.0,52.877235412597656,1.0,0.004198662411048128
206,1745407695.261744,1745407695.311796,True,,ORB,1176,1181,1176,916,916,1.0,0.0,2.2360680103302,0.0,28.054567337036133,0.2551924470398161,False,True,0.010924231261014938,0.0313725508749485,True,,522,522,0.2556822597980499,3.578106164932251,29.675745010375977,81.85210418701172,0.9980842911877394,0.006159266377323748
207,1745407695.311796,1745407695.361802,True,,ORB,1181,1177,1181,923,923,1.0,0.0,2.036465644836426,0.0,25.467201232910156,0.3517391007036379,False,True,0.01063666120171547,0.0313725508749485,True,,586,584,0.352342426776886,3.4736504554748535,27.800935745239258,83.56338500976562,0.9982876712328768,0.0036423341277365376
